IdentityNumber,BirthDate,Gender,Citizenship
8506025878081,1985/06/02 00:00:00,Male,SA Citizen
8501015800088,1985/01/01 00:00:00,Male,SA Citizen
2001015800085,2020/01/01 00:00:00,Male,SA Citizen
3401015800086,1934/01/01 00:00:00,Male,SA Citizen
2001014800086,2020/01/01 00:00:00,Female,SA Citizen
8506025878081,1985/06/02 00:00:00,Male,SA Citizen
8501015800088,1985/01/01 00:00:00,Male,SA Citizen
2001015800085,2020/01/01 00:00:00,Male,SA Citizen
3401015800086,1934/01/01 00:00:00,Male,SA Citizen
2001014800086,2020/01/01 00:00:00,Female,SA Citizen
8506025878081,1985/06/02 00:00:00,Male,SA Citizen
8501015800088,1985/01/01 00:00:00,Male,SA Citizen
2001015800085,2020/01/01 00:00:00,Male,SA Citizen
3401015800086,1934/01/01 00:00:00,Male,SA Citizen
2001014800086,2020/01/01 00:00:00,Female,SA Citizen
8506025878081,1985/06/02 00:00:00,Male,SA Citizen
8501015800088,1985/01/01 00:00:00,Male,SA Citizen
8501015800088,1985/01/01 00:00:00,Male,SA Citizen
2001015800085,2020/01/01 00:00:00,Male,SA Citizen
3401015800086,2034/01/01 00:00:00,Male,SA Citizen
2001014800086,2020/01/01 00:00:00,Female,SA Citizen
8506025878081,1985/06/02 00:00:00,Male,SA Citizen
